distribution,distribution_label,hours_to_pep,mean_efficacy,median_efficacy,ci_95_lower,ci_95_upper,ci_50_lower,ci_50_upper,ci_95_width,p_below_50pct,p_below_30pct,p_futile
acute_infection_enriched,Acute-infection-enriched network,56.33,0.1468,0.1127,0.0091,0.4221,0.0526,0.2197,0.413,0.9998,0.87,0.4534
acute_infection_enriched,Acute-infection-enriched network,58.78,0.1114,0.0756,0.0057,0.3803,0.0336,0.1616,0.3746,1.0,0.9262,0.5928
acute_infection_enriched,Acute-infection-enriched network,61.22,0.0819,0.0492,0.0035,0.328,0.0212,0.113,0.3245,1.0,0.9636,0.7144
acute_infection_enriched,Acute-infection-enriched network,63.67,0.0585,0.0314,0.0022,0.2683,0.0132,0.0758,0.2661,1.0,0.9832,0.8196
acute_infection_enriched,Acute-infection-enriched network,66.12,0.0406,0.0197,0.0014,0.2069,0.0082,0.0493,0.2055,1.0,0.9934,0.8924
acute_infection_enriched,Acute-infection-enriched network,68.57,0.0275,0.0123,0.0009,0.1507,0.0051,0.0315,0.1499,1.0,0.9976,0.9432
acute_infection_enriched,Acute-infection-enriched network,71.02,0.0182,0.0076,0.0005,0.1045,0.0032,0.0198,0.1039,1.0,0.9998,0.973
acute_infection_enriched,Acute-infection-enriched network,73.47,0.0118,0.0047,0.0003,0.0696,0.002,0.0123,0.0693,1.0,0.9998,0.988
acute_infection_enriched,Acute-infection-enriched network,75.92,0.0076,0.0029,0.0002,0.0451,0.0012,0.0076,0.0449,1.0,1.0,0.995
acute_infection_enriched,Acute-infection-enriched network,78.37,0.0048,0.0018,0.0001,0.0286,0.0007,0.0047,0.0285,1.0,1.0,0.9988
acute_infection_enriched,Acute-infection-enriched network,80.82,0.003,0.0011,0.0001,0.018,0.0005,0.0029,0.0179,1.0,1.0,0.9998
acute_infection_enriched,Acute-infection-enriched network,83.27,0.0019,0.0007,0.0001,0.0112,0.0003,0.0018,0.0111,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,85.71,0.0012,0.0004,0.0,0.0069,0.0002,0.0011,0.0069,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,88.16,0.0007,0.0003,0.0,0.0043,0.0001,0.0007,0.0042,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,90.61,0.0004,0.0002,0.0,0.0026,0.0001,0.0004,0.0026,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,93.06,0.0003,0.0001,0.0,0.0016,0.0,0.0003,0.0016,1.0,1.0,1.0
