time_h,E_PEP_V0_1,P_int_V0_1,E_PEP_V0_3,P_int_V0_3,E_PEP_V0_10,P_int_V0_10,E_PEP_V0_30,P_int_V0_30,E_PEP_V0_100,P_int_V0_100,E_PEP_V0_300,P_int_V0_300,E_PEP_V0_1000,P_int_V0_1000,E_PEP_V0_3000,P_int_V0_3000,E_PEP_V0_10000,P_int_V0_10000
57.0,0.12140350877192982,0.7824561403508772,0.05111821086261979,0.9121405750798722,0.00750517598343684,0.989648033126294,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
57.5,0.05999999999999997,0.9052631578947369,0.027156549520766776,0.9600638977635783,0.005434782608695654,0.9937888198757764,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
58.0,0.03368421052631579,0.9578947368421052,0.019968051118210855,0.9744408945686901,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
58.5,0.030175438596491216,0.9649122807017544,0.015974440894568658,0.9824281150159745,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
59.0,0.02842105263157893,0.968421052631579,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
59.5,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
60.0,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
60.5,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
61.0,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
61.5,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
62.0,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
62.5,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
63.0,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
63.5,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
64.0,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
64.5,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
65.0,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
65.5,0.026666666666666644,0.9719298245614035,0.015175718849840241,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
66.0,0.026666666666666644,0.9719298245614035,0.01373801916932909,0.9840255591054313,0.004917184265010343,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
66.5,0.02192982456140352,0.9719298245614035,0.010143769968051114,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
67.0,0.01719298245614035,0.9719298245614035,0.009424920127795538,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
67.5,0.01719298245614035,0.9719298245614035,0.008706070287539914,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
68.0,0.015614035087719292,0.9719298245614035,0.008706070287539914,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
68.5,0.015614035087719292,0.9719298245614035,0.008706070287539914,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
69.0,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
69.5,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
70.0,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
70.5,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
71.0,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
71.5,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
72.0,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
72.5,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
73.0,0.014035087719298234,0.9719298245614035,0.007987220447284338,0.9840255591054313,0.0039855072463767845,0.994824016563147,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
